Max Scherzer,7 (2015-21),"$210,000,000.00"
Stephen Strasburg,7 (2017-23),"$175,000,000.00"
Mike Trout,6 (2015-20),"$144,500,000.00"
Zack Greinke,6 (2016-21),"$206,500,000.00"
David Price,7 (2016-22),"$217,000,000.00"
Clayton Kershaw,3 (2019-21),"$93,000,000.00"
Miguel Cabrera,10 (2014-23),"$292,000,000.00"
Yoenis Cespedes,4 (2017-20),"$110,000,000.00"
Justin Verlander,7 (2013-19),"$180,000,000.00"
Albert Pujols,10 (2012-21),"$240,000,000.00"
Felix Hernandez,7 (2013-19),"$175,000,000.00"
Jon Lester,6 (2015-20),"$155,000,000.00"
Nolan Arenado,1 (2019),"$26,000,000.00"
Giancarlo Stanton,13 (2015-27),"$325,000,000.00"
Jake Arrieta,3 (2018-20),"$75,000,000.00"
Joey Votto,10 (2014-23),"$225,000,000.00"
Jordan Zimmermann,5 (2016-20),"$110,000,000.00"
Robinson Cano,10 (2014-23),"$240,000,000.00"
J.D. Martinez,5 (2018-22),"$110,000,000.00"
Edwin Encarnacion,3 (2017-19),"$60,000,000.00"
Josh Donaldson,1 (2019),"$23,000,000.00"
Johnny Cueto,6 (2016-21),"$130,000,000.00"
Buster Posey,9 (2013-21),"$167,000,000.00"
Masahiro Tanaka,7 (2014-20),"$155,000,000.00"
Jacoby Ellsbury,7 (2014-20),"$153,000,000.00"
Eric Hosmer,8 (2018-25),"$144,000,000.00"
Charlie Blackmon,6 (2018-23),"$108,000,000.00"
Matt Kemp,8 (2012-19),"$160,000,000.00"
Freddie Freeman,8 (2014-21),"$135,000,000.00"
Rick Porcello,4 (2016-19),"$82,500,000.00"
Chris Davis,7 (2016-22),"$161,000,000.00"
Alex Gordon,4 (2016-19),"$72,000,000.00"
Shin-Soo Choo,7 (2014-20),"$130,000,000.00"
Carlos Santana,3 (2018-20),"$60,000,000.00"
Yu Darvish,6 (2018-23),"$126,000,000.00"
Cole Hamels,1 (2019),"$20,000,000.00"
Mookie Betts,1 (2019),"$20,000,000.00"
Russell Martin,1 (2019),"$20,000,000.00"
Yadier Molina,3 (2018-20),"$60,000,000.00"
Jason Heyward,8 (2016-23),"$184,000,000.00"
Jeff Samardzija,5 (2016-20),"$90,000,000.00"
